tract,med_hh_income,med_hh_income_universe,ami_category,below_med_income,below_60pct_med_income,below_moderate_income,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
06037481500,78479,1543,Low Income,Yes,Yes,Yes,District 1,City of Alhambra,SPA 3 - San Gabriel,6381,23733951.2382812,23926.8743117471
06037481603,81974,1236,Low Income,Yes,Yes,Yes,District 1,City of Alhambra,SPA 3 - San Gabriel,6382,7082685.70410156,11968.8619776325
06037481604,79609,1429,Low Income,Yes,Yes,Yes,District 1,City of Alhambra,SPA 3 - San Gabriel,6383,6717656.04882812,11092.421359826
06037481605,88542,1025,Low Income,Yes,No,Yes,District 1,City of Alhambra,SPA 3 - San Gabriel,6384,8160540.8125,13790.5395461172
06037481606,73344,1639,Low Income,Yes,Yes,Yes,District 1,City of Alhambra,SPA 3 - San Gabriel,6385,9275185.53710938,14834.2466349075
06037481711,55797,1413,Very Low Income,Yes,Yes,Yes,District 1,City of Monterey Park,SPA 3 - San Gabriel,6386,4817702.82910156,8918.76170287247
06037481712,44688,1740,Very Low Income,Yes,Yes,Yes,District 1,City of Monterey Park,SPA 3 - San Gabriel,6387,7783052.33007812,12224.1941316127
06037481713,60600,972,Very Low Income,Yes,Yes,Yes,District 1,City of Monterey Park,SPA 3 - San Gabriel,6388,5001888.171875,10225.2840662925
06037481714,42713,991,Very Low Income,Yes,Yes,Yes,District 1,City of Monterey Park,SPA 3 - San Gabriel,6389,4879897.6484375,10193.6742368223
06037481800,126875,836,Above Moderate Income,No,No,No,District 1,City of Alhambra,SPA 3 - San Gabriel,6390,8928693.49804688,12643.5021949038
06037481901,119110,1982,Above Moderate Income,No,No,No,District 1,City of Alhambra,SPA 3 - San Gabriel,6391,19796459.9199219,19561.7405744325
06037481902,83963,1110,Low Income,Yes,No,Yes,District 1,City of Alhambra,SPA 3 - San Gabriel,6392,9464454.20507812,17643.9599350857
06037482001,126083,923,Above Moderate Income,No,No,No,District 1,City of Monterey Park,SPA 3 - San Gabriel,6393,31740089.5712891,25455.0455990946
06037482002,105272,2655,Low Income,No,No,Yes,District 1,City of Monterey Park,SPA 3 - San Gabriel,6394,26801534.7294922,22586.9806402096
06037482101,85905,1543,Low Income,Yes,No,Yes,District 1,City of Monterey Park,SPA 3 - San Gabriel,6395,12324529.6015625,16501.5591417779
06037482102,107664,1115,Low Income,No,No,Yes,District 1,City of Monterey Park,SPA 3 - San Gabriel,6396,11793123.2802734,14776.9971440009
06037482201,59922,1345,Very Low Income,Yes,Yes,Yes,District 1,City of Monterey Park,SPA 3 - San Gabriel,6397,8362194.49902344,11964.9459673424
06037482202,67712,1726,Very Low Income,Yes,Yes,Yes,District 1,City of Monterey Park,SPA 3 - San Gabriel,6398,6959529.27734375,10544.484035594
06037482301,81389,1342,Low Income,Yes,Yes,Yes,District 1,City of San Gabriel,SPA 3 - San Gabriel,6399,9437947.70605469,17053.3344188967
06037482303,67000,1406,Very Low Income,Yes,Yes,Yes,District 1,City of Rosemead,SPA 3 - San Gabriel,6400,10623862.1367188,14783.8533462828
06037482304,57200,752,Very Low Income,Yes,Yes,Yes,District 1,City of Rosemead,SPA 3 - San Gabriel,6401,6688063.46679688,12815.2110325787
