Census_Tra,TRACT,UHII,DegHourDay,FIPS,Pop2012_km,FID_,X,Y,x1,y1,Pop_km_2,SymbolID
2524,461501,26292.0,144.461538462,6037461501,3907.11038289,1170,214397.203,-304159.594,30.466,67.613,3907.1,
2525,461502,26091.6,143.36043956,6037461502,5710.84744213,1171,213576.719,-304057.313,30.192,67.648,5710.8,
2526,461600,23132.2,127.1,6037461600,3605.20255171,1172,212655.75,-305484.0,29.885,67.172,3605.2,
2527,461700,22136.5,121.629120879,6037461700,722.740938263,1173,212002.188,-305967.969,29.667,67.011,722.7,
2528,461901,22079.0,121.313186813,6037461901,5638.29025455,1174,213403.922,-306341.25,30.135,66.886,5638.3,
2529,461902,21122.2,116.056043956,6037461902,2132.68050143,1175,213486.906,-306960.25,30.162,66.68,2132.7,
2530,462001,23831.7,130.943406593,6037462001,8159.24918544,1176,213831.328,-305356.406,30.277,67.215,8159.2,
2531,462002,23633.0,129.851648352,6037462002,7916.83699942,1177,213420.578,-305371.344,30.14,67.21,7916.8,
2532,462100,24131.0,132.587912088,6037462100,5168.28242089,1178,214452.094,-305334.813,30.484,67.222,5168.3,
2533,462201,22600.2,124.176923077,6037462201,7367.85536441,1179,214481.875,-306262.031,30.494,66.913,7367.9,
2534,462202,21524.5,118.266483516,6037462202,5420.29057073,1180,214504.766,-306912.125,30.502,66.696,5420.3,
2535,462301,23028.0,126.527472527,6037462301,7561.6475765,1181,215384.391,-306228.969,30.795,66.924,7561.6,
2536,462302,21843.9,120.021428571,6037462302,4471.30534147,1182,215423.156,-306874.406,30.808,66.709,4471.3,
2537,462400,24757.9,136.032417582,6037462400,3377.7771765,1183,215386.5,-305293.625,30.795,67.235,3377.8,
2538,462500,26751.9,146.988461538,6037462500,2516.30367819,1184,217615.531,-305005.875,31.539,67.331,2516.3,
2539,462600,24982.6,137.267032967,6037462600,2268.90941003,1185,216589.875,-305537.219,31.197,67.154,2268.9,
2540,462700,22873.2,125.676923077,6037462700,3412.08221242,1186,216529.969,-306527.344,31.177,66.824,3412.1,
2541,462800,23371.0,128.412087912,6037462800,2728.04856646,1187,217565.266,-306462.031,31.522,66.846,2728.0,
2542,462900,23981.9,131.768681319,6037462900,1670.54046845,1188,218743.813,-306262.688,31.915,66.912,1670.5,
2543,463000,24695.8,135.691208791,6037463000,1344.36046609,1189,220087.203,-306062.5,32.362,66.979,1344.4,
2544,463101,20701.7,113.745604396,6037463101,2200.78671404,1190,220564.0,-307645.25,32.521,66.452,2200.8,
2545,463102,20394.7,112.058791209,6037463102,1523.83840182,1191,219630.156,-308011.688,32.21,66.329,1523.8,
2546,463200,20683.3,113.644505495,6037463200,2129.30106452,1192,218844.938,-307733.156,31.948,66.422,2129.3,
2547,463300,20588.6,113.124175824,6037463300,3141.43891896,1193,217669.703,-307873.5,31.557,66.376,3141.4,
2548,463400,20632.3,113.364285714,6037463400,3138.0789449,1194,216713.922,-307722.625,31.238,66.426,3138.1,
2549,463500,20106.4,110.474725275,6037463500,3540.62042555,1195,215442.391,-308033.375,30.814,66.322,3540.6,
2550,463601,20229.1,111.148901099,6037463601,6390.64071916,1196,214539.219,-307792.938,30.513,66.402,6390.6,
2551,463602,19970.4,109.727472527,6037463602,5688.28550513,1197,213714.516,-307820.781,30.238,66.393,5688.3,
2552,463700,19568.4,107.518681319,6037463700,1662.33846502,1198,212535.516,-307882.094,29.845,66.373,1662.3,
2553,463800,18212.6,100.069230769,6037463800,1413.43856561,1199,211105.953,-308637.406,29.369,66.121,1413.4,
2554,463900,18295.0,100.521978022,6037463900,1844.40077631,1200,212639.094,-309046.875,29.88,65.984,1844.4,
2555,464000,18562.7,101.992857143,6037464000,1832.07413408,1201,214355.25,-309275.719,30.452,65.908,1832.1,
2556,464100,18142.0,99.6813186813,6037464100,1173.66367399,1202,216053.531,-309973.938,31.018,65.675,1173.7,
2557,464200,19097.8,104.932967033,6037464200,1756.2595367,1203,217978.5,-309334.688,31.66,65.888,1756.3,
2558,480002,18634.4,102.386813187,6037480002,2684.10302416,1204,219208.453,-309889.781,32.069,65.703,2684.1,
2559,480011,19310.8,106.103296703,6037480011,4910.96796837,1205,220186.25,-309212.938,32.395,65.929,4911.0,
2560,480012,18525.2,101.786813187,6037480012,3941.17943624,1206,220309.734,-310116.219,32.437,65.628,3941.2,
2561,480101,17777.0,97.6758241758,6037480101,3643.29822017,1207,220395.672,-311076.469,32.465,65.308,3643.3,
2562,480102,17548.9,96.4225274725,6037480102,3570.36569361,1208,219352.563,-311219.688,32.118,65.26,3570.4,
2563,480201,17195.6,94.4813186813,6037480201,2561.38773611,1209,217032.75,-311282.313,31.344,65.239,2561.4,
2564,480202,17453.5,95.8983516484,6037480202,1763.96965856,1210,218229.688,-311176.094,31.743,65.275,1764.0,
2565,480302,16400.7,90.1137362637,6037480302,4076.92826275,1211,216032.031,-312074.844,31.011,64.975,4076.9,
2566,480303,15567.7,85.5368131868,6037480303,8137.54104831,1212,214593.781,-312796.688,30.531,64.734,8137.5,
2567,480304,15785.9,86.7357142857,6037480304,9881.7728629,1213,215158.094,-312659.719,30.719,64.78,9881.8,
2568,480400,16412.9,90.1807692308,6037480400,4471.43943493,1214,215084.25,-311803.031,30.695,65.066,4471.4,
2569,480500,16414.2,90.1879120879,6037480500,2693.1130866,1215,213908.969,-311378.781,30.303,65.207,2693.1,
2570,480600,17085.9,93.8785714286,6037480600,3456.08318739,1216,212832.609,-310190.594,29.944,65.603,3456.1,
2571,480702,15318.4,84.167032967,6037480702,2105.37889432,1217,211649.641,-311795.25,29.55,65.068,2105.4,
2572,480703,15980.1,87.8027472527,6037480703,3044.03873171,1218,212411.781,-311292.594,29.804,65.236,3044.0,
2573,480704,15919.5,87.4697802198,6037480704,4374.58352544,1219,213119.203,-311674.469,30.04,65.109,4374.6,
2576,480804,15310.2,84.121978022,6037480804,6427.75620985,1222,213725.156,-312741.719,30.242,64.753,6427.8,
2580,481001,15130.7,83.1357142857,6037481001,3861.51052257,1226,215304.344,-313582.813,30.768,64.472,3861.5,
2581,481002,15970.7,87.7510989011,6037481002,5974.43413316,1227,216306.844,-312728.75,31.102,64.757,5974.4,
2582,481101,16535.4,90.8538461538,6037481101,4402.97457125,1228,217384.766,-312267.188,31.462,64.911,4403.0,
2583,481102,16758.7,92.0807692308,6037481102,6111.62666639,1229,218515.703,-312155.406,31.839,64.948,6111.6,
2584,481103,16197.7,88.9983516484,6037481103,3953.05831422,1230,218181.094,-312862.563,31.727,64.712,3953.1,
2585,481201,16882.1,92.7587912088,6037481201,3777.78084089,1231,220646.063,-312331.75,32.549,64.889,3777.8,
2586,481202,16781.3,92.2049450549,6037481202,4396.65385931,1232,219696.094,-312313.125,32.232,64.896,4396.7,
2587,481300,15163.7,83.317032967,6037481300,3635.69808143,1233,219682.063,-314696.281,32.227,64.101,3635.7,
2588,481401,15334.2,84.2538461538,6037481401,5221.10157154,1234,217707.141,-313997.313,31.569,64.334,5221.1,
2589,481402,15479.5,85.0521978022,6037481402,4062.77966879,1235,218712.516,-313980.156,31.904,64.34,4062.8,
2590,481500,15083.2,82.8747252747,6037481500,2084.25256301,1236,216913.203,-314132.406,31.304,64.289,2084.3,
2591,481603,15072.2,82.8142857143,6037481603,5970.11063465,1237,216233.328,-313938.906,31.078,64.354,5970.1,
2228,400205,37065.7,203.657692308,6037400205,142.268213121,0,252645.391,-305800.156,43.215,67.067,142.3,
2229,400206,32890.8,180.718681319,6037400206,1494.13194954,1,252804.188,-308035.375,43.268,66.322,1494.1,
2260,401800,30535.6,167.778021978,6037401800,1286.2822512,2,252780.266,-309452.688,43.26,65.849,1286.3,
2261,401901,28792.2,158.198901099,6037401901,2745.13015479,3,253549.344,-310926.031,43.516,65.358,2745.1,
2263,402001,27198.9,149.444505495,6037402001,2189.81320245,4,252175.438,-312436.031,43.058,64.855,2189.8,
2264,402002,27636.1,151.846703297,6037402002,2452.47033881,5,253163.406,-312388.313,43.388,64.871,2452.5,
2282,402706,26242.2,144.187912088,6037402706,3844.72309458,6,252584.75,-314135.313,43.195,64.288,3844.7,
5814,401701,29266.5,160.804945055,6037401701,2252.7229994,0,0.0,0.0,0.0,0.0,0.0,
5815,401703,26866.1,147.615934066,6037401703,3730.90755635,0,0.0,0.0,0.0,0.0,0.0,
5816,401704,27507.7,151.141208791,6037401704,3305.84607186,0,0.0,0.0,0.0,0.0,0.0,
5819,401902,28148.8,154.663736264,6037401902,2286.43390864,0,0.0,0.0,0.0,0.0,0.0,
5822,402101,26376.1,144.923626374,6037402101,4004.02967708,0,0.0,0.0,0.0,0.0,0.0,
5823,402102,25554.5,140.409340659,6037402102,2159.05641747,0,0.0,0.0,0.0,0.0,0.0,
5826,402303,24293.8,133.482417582,6037402303,4550.87070435,0,0.0,0.0,0.0,0.0,0.0,
5835,402600,24941.8,137.042857143,6037402600,3415.54064142,0,0.0,0.0,0.0,0.0,0.0,
5836,402702,25587.2,140.589010989,6037402702,4271.9053347,0,0.0,0.0,0.0,0.0,0.0,
5837,402703,25589.9,140.603846154,6037402703,4564.77311288,0,0.0,0.0,0.0,0.0,0.0,
5838,402705,25580.1,140.55,6037402705,4036.04684256,0,0.0,0.0,0.0,0.0,0.0,
5840,402801,24583.5,135.074175824,6037402801,2973.85548975,0,0.0,0.0,0.0,0.0,0.0,
5841,402803,23639.2,129.885714286,6037402803,5541.4964418,0,0.0,0.0,0.0,0.0,0.0,
5842,402804,24472.4,134.463736264,6037402804,3250.57515062,0,0.0,0.0,0.0,0.0,0.0,
5843,402902,22692.9,124.686263736,6037402902,3597.80956578,0,0.0,0.0,0.0,0.0,0.0,
5844,402903,23571.2,129.512087912,6037402903,2719.95210775,0,0.0,0.0,0.0,0.0,0.0,
5846,403000,21814.9,119.862087912,6037403000,3028.30107875,0,0.0,0.0,0.0,0.0,0.0,
5991,408800,23860.2,131.1,6037408800,2271.77611403,0,0.0,0.0,0.0,0.0,0.0,
5814,401701,29266.5,160.804945055,6037401701,2252.7229994,0,0.0,0.0,0.0,0.0,0.0,
5815,401703,26866.1,147.615934066,6037401703,3730.90755635,0,0.0,0.0,0.0,0.0,0.0,
5816,401704,27507.7,151.141208791,6037401704,3305.84607186,0,0.0,0.0,0.0,0.0,0.0,
5819,401902,28148.8,154.663736264,6037401902,2286.43390864,0,0.0,0.0,0.0,0.0,0.0,
5822,402101,26376.1,144.923626374,6037402101,4004.02967708,0,0.0,0.0,0.0,0.0,0.0,
5823,402102,25554.5,140.409340659,6037402102,2159.05641747,0,0.0,0.0,0.0,0.0,0.0,
