tract,med_hh_income,med_hh_income_universe,ami_category,below_med_income,below_60pct_med_income,below_moderate_income,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
6037577300,108771.0,3756,Low Income,No,No,Yes,District 4,City of Long Beach,SPA 8 - South Bay,6888,8753222.14160156,12674.1947944582
6037577400,119911.0,1426,Above Moderate Income,No,No,No,District 4,City of Long Beach,SPA 8 - South Bay,6889,6943339.91992188,11769.6752731051
6037577501,131765.0,1702,Above Moderate Income,No,No,No,District 4,City of Long Beach,SPA 8 - South Bay,6890,14579156.7763672,15299.8099640355
6037577504,94125.0,761,Low Income,Yes,No,Yes,District 4,City of Long Beach,SPA 8 - South Bay,6891,6017112.85742188,16934.8557339116
6037577602,109177.0,1611,Low Income,No,No,Yes,District 4,City of Long Beach,SPA 8 - South Bay,6892,14927053.3388672,17289.6306716414
6037577604,108571.0,812,Low Income,No,No,Yes,District 4,City of Long Beach,SPA 8 - South Bay,6893,16578437.1884766,28779.3747020717
6037577605,123986.0,2050,Above Moderate Income,No,No,No,District 4,City of Long Beach,SPA 8 - South Bay,6894,19689600.9433594,19854.487514848
6037577606,136094.0,1594,Above Moderate Income,No,No,No,District 4,City of Long Beach,SPA 8 - South Bay,6895,12469864.7099609,17491.4183484139
6037577700,91612.0,1239,Low Income,Yes,No,Yes,District 4,City of Long Beach,SPA 8 - South Bay,6896,13616840.6914062,18926.200280492
6037577800,113235.0,1364,Moderate Income,No,No,Yes,District 4,City of Downey,SPA 7 - East,6897,18813760.9580078,22454.224526755
6037577900,84598.0,2363,Low Income,Yes,No,Yes,District 4,City of Long Beach,SPA 8 - South Bay,6898,19019660.0322266,20874.3918721433
6037578000,59141.0,1550,Very Low Income,Yes,Yes,Yes,District 4,City of Long Beach,SPA 8 - South Bay,6899,19821795.4355469,22475.2724515312
6037599000,91759.0,1178,Low Income,Yes,No,Yes,District 4,City of Avalon,SPA 8 - South Bay,6901,35664503.1728516,28399.1163023887
6037600100,56118.0,2132,Very Low Income,Yes,Yes,Yes,District 2,Unincorporated - Athens-Westmont,SPA 8 - South Bay,6903,8145826.70019531,12352.6803164271
6037600302,73365.0,986,Low Income,Yes,Yes,Yes,District 2,Unincorporated - Athens-Westmont,SPA 8 - South Bay,6906,8835937.30078125,11971.1873099585
6037600304,58013.0,1068,Very Low Income,Yes,Yes,Yes,District 2,Unincorporated - Athens-Westmont,SPA 8 - South Bay,6908,4780190.86621094,9643.08539158571
6037600400,65145.0,1495,Very Low Income,Yes,Yes,Yes,District 2,Unincorporated - Athens-Westmont,SPA 8 - South Bay,6909,10556116.5625,16001.3030320201
6037980019,79018.0,37,Low Income,Yes,Yes,Yes,District 3,Los Angeles - Palisades Highlands,SPA 5 - West,6910,476424607.671875,149651.65116216
6037600501,81458.0,875,Low Income,Yes,Yes,Yes,District 2,City of Inglewood,SPA 8 - South Bay,6911,7116461.40917969,10669.2654272993
6037600601,96607.0,850,Low Income,Yes,No,Yes,District 2,City of Inglewood,SPA 8 - South Bay,6912,6965455.27246094,10542.1534842802
6037600602,65129.0,715,Very Low Income,Yes,Yes,Yes,District 2,City of Inglewood,SPA 8 - South Bay,6913,7443353.8671875,10854.6551682281
6037600702,110417.0,1591,Low Income,No,No,Yes,District 2,City of Inglewood,SPA 8 - South Bay,6914,26101481.8730469,23989.4569591736
6037600703,104595.0,748,Low Income,No,No,Yes,District 2,City of Inglewood,SPA 8 - South Bay,6915,5549320.95898438,10845.6444095777
6037600704,74405.0,1184,Low Income,Yes,Yes,Yes,District 2,City of Inglewood,SPA 8 - South Bay,6916,10424291.0185547,12988.667244335
6037600801,110625.0,1213,Low Income,No,No,Yes,District 2,City of Inglewood,SPA 8 - South Bay,6917,10462808.5458984,13231.9032574555
6037600802,60913.0,1161,Very Low Income,Yes,Yes,Yes,District 2,City of Inglewood,SPA 8 - South Bay,6918,20967942.3955078,20297.2076396998
6037600902,59498.0,2409,Very Low Income,Yes,Yes,Yes,District 2,City of Inglewood,SPA 8 - South Bay,6919,8555265.36523438,13375.6440720542
6037600911,84706.0,1040,Low Income,Yes,No,Yes,District 2,City of Inglewood,SPA 8 - South Bay,6921,7288004.77636719,11169.9497803195
6037600912,75781.0,1468,Low Income,Yes,Yes,Yes,District 2,City of Inglewood,SPA 8 - South Bay,6922,11735596.7626953,15193.0004448652
6037601001,60250.0,1088,Very Low Income,Yes,Yes,Yes,District 2,City of Inglewood,SPA 8 - South Bay,6923,9587666.7109375,13981.9281846441
6037601002,59220.0,1975,Very Low Income,Yes,Yes,Yes,District 2,City of Inglewood,SPA 8 - South Bay,6924,6807170.24707031,11117.381555623
6037601100,60174.0,2106,Very Low Income,Yes,Yes,Yes,District 2,City of Inglewood,SPA 8 - South Bay,6925,6900459.72070312,10510.0616652774
6037601202,74013.0,1093,Low Income,Yes,Yes,Yes,District 2,City of Inglewood,SPA 8 - South Bay,6926,7065105.55273438,10672.5628414639
6037601212,68728.0,1950,Very Low Income,Yes,Yes,Yes,District 2,City of Inglewood,SPA 8 - South Bay,6928,6305633.37402344,10073.3832098473
6037601301,104239.0,736,Low Income,No,No,Yes,District 2,City of Inglewood,SPA 8 - South Bay,6929,6624762.4140625,10991.5916139965
6037601302,77744.0,2566,Low Income,Yes,Yes,Yes,District 2,City of Inglewood,SPA 8 - South Bay,6931,13166448.8427734,19301.6032687366
6037601401,56908.0,1769,Very Low Income,Yes,Yes,Yes,District 2,City of Inglewood,SPA 8 - South Bay,6933,16764605.2119141,18166.9451781324
6037601402,86563.0,1298,Low Income,Yes,No,Yes,District 2,City of Inglewood,SPA 8 - South Bay,6934,10584717.5693359,13247.2022352653
6037601501,60109.0,980,Very Low Income,Yes,Yes,Yes,District 2,Unincorporated - Lennox,SPA 8 - South Bay,6935,5082364.58496094,10467.6710807183
6037601502,65000.0,910,Very Low Income,Yes,Yes,Yes,District 2,Unincorporated - Lennox,SPA 8 - South Bay,6936,5265980.21289062,11426.733170416
6037601801,56786.0,872,Very Low Income,Yes,Yes,Yes,District 2,City of Inglewood,SPA 8 - South Bay,6939,5234143.03125,10548.0233136592
6037601802,82833.0,932,Low Income,Yes,Yes,Yes,District 2,Unincorporated - Lennox,SPA 8 - South Bay,6941,5209348.671875,10562.8332850143
6037601900,65215.0,1321,Very Low Income,Yes,Yes,Yes,District 2,City of Inglewood,SPA 8 - South Bay,6942,7488280.68457031,11027.7832088277
6037602002,77344.0,833,Low Income,Yes,Yes,Yes,District 2,City of Hawthorne,SPA 8 - South Bay,6943,5727718.81640625,10581.8215363547
6037602003,69850.0,1193,Low Income,Yes,Yes,Yes,District 2,City of Inglewood,SPA 8 - South Bay,6944,6730802.56640625,10333.1948953788
6037602104,69798.0,1754,Low Income,Yes,Yes,Yes,District 2,City of Hawthorne,SPA 8 - South Bay,6946,7983084.546875,11593.0671798025
6037602105,58686.0,1426,Very Low Income,Yes,Yes,Yes,District 2,City of Hawthorne,SPA 8 - South Bay,6947,6842892.30175781,10462.7491133301
6037602106,81283.0,2305,Low Income,Yes,Yes,Yes,District 2,City of Hawthorne,SPA 8 - South Bay,6948,8816440.72949219,13275.3931852257
6037602201,146225.0,1602,Above Moderate Income,No,No,No,District 2,Unincorporated - Del Aire,SPA 8 - South Bay,6949,17869424.3291016,19353.2920395836
